,GDP_Growth,Inflation,Scenario
0,8.204356334944576,8.19939494388002,Base
1,9.064074738257858,-2.08479001574691,Base
2,8.888912700081828,16.383772409244088,Base
3,12.117473458252094,3.0995990931461392,Base
4,12.541440576321849,-4.781226002985715,Base
5,11.853741038201818,-17.719350414637052,Optimistic
6,8.84675967555257,-9.863329554021504,Base
7,4.815762787130312,6.218454534791514,Base
8,5.699912081997007,4.50840883279014,Base
9,8.666185385955366,-5.481692339208195,Base
10,12.735978301903103,-7.950861991299661,Optimistic
11,8.72580255251486,11.054871828293487,Base
12,6.551759869285152,-3.0420141734339188,Base
13,12.124423712997022,0.8917899159139875,Base
14,8.848337078456472,-14.882318326885699,Base
15,10.535416882404496,-3.0845003758532856,Base
16,11.101618086578853,-0.5301931166543852,Base
17,4.7182583904839515,1.314258026976484,Base
18,8.046751992383328,1.856748640614321,Base
19,9.127225518931509,-8.414869757458293,Base
20,10.355790202499245,-2.9378904288490144,Base
21,10.4253222643907,-1.7632280048728677,Base
22,12.485500827490934,-16.693502745306233,Optimistic
23,7.6861185681862025,7.239586526371091,Base
24,10.443897141489941,3.3983637332773795,Base
25,9.161703361800361,0.4274339661972675,Base
26,7.52969788219609,9.417343188156874,Base
27,8.073464760917597,-1.160343455962594,Base
28,8.135926541312422,-1.868172428967196,Base
29,7.389863183928461,3.448000820961611,Base
30,9.213767530354314,3.942094338791213,Base
31,9.628489447224084,9.000388230161787,Base
32,7.033660793582038,20.40929141920245,Base
33,10.264340828434985,3.047265909639811,Base
34,7.049492890626447,-12.595919032452114,Base
35,5.7794956383406,16.572584741463707,Pessimistic
36,10.838974139844666,-0.5091268666063278,Base
37,8.708638923528028,3.753254446350267,Base
38,9.53587880741087,-2.434205719200278,Base
39,8.678058134333572,-1.1702996839309365,Base
40,12.950810191460448,-5.707414269562731,Base
41,8.919622536648895,1.8418410923046424,Base
42,9.437515615576675,2.367518795592159,Base
43,6.448113111620547,-3.279279080392666,Base
44,7.55118978143684,0.7180816784859565,Base
45,10.858388414705102,0.9597687586006649,Base
46,5.025307602856547,13.8924208361228,Pessimistic
47,7.935145092687044,3.784201556712287,Base
48,8.48543462947905,-6.195422513336785,Base
49,7.8597245505575195,-0.4059893189330706,Base
50,8.342391241392694,-4.573895510606807,Base
51,7.8909339200000135,16.945090666516805,Base
52,9.349099180370267,1.3829149952711344,Base
53,8.731753754039786,19.397029707336223,Base
54,7.551334482098448,-5.574497976431631,Base
55,7.279189300014058,13.176730082572305,Base
56,8.818798668300518,-0.08904059643548212,Base
57,11.022049762743434,-3.087690914734827,Base
58,8.51589081468762,-6.557237182350163,Base
59,10.930826849805628,-7.389832851983425,Optimistic
60,8.284906422675087,3.3941467410152195,Base
61,9.234282056507709,0.19982346547623875,Base
62,6.437376442554809,0.03064648288067895,Base
63,11.658007396826957,-7.937606201538021,Optimistic
64,10.136856923629482,6.871404058238159,Base
65,8.858450670591594,13.021045790179826,Base
66,7.758540992130229,-1.0514088101600345,Base
67,10.20605685066056,9.793524260527835,Base
68,8.72581197092531,-13.190163611070412,Base
69,8.648436664109076,-15.883239662992882,Base
70,9.976267605782642,-2.258253612461571,Base
71,8.028519603719044,5.153759176603138,Base
72,5.235964944518608,4.453036118990356,Base
73,7.294192020174971,12.672090853324733,Base
74,10.325346308217966,-6.574594124886559,Base
75,10.377902930954717,2.707312889696296,Base
76,9.699008848266548,-2.0234153025171495,Base
77,11.726197179461106,-3.233810658202133,Base
78,6.885646275209211,10.156493869067033,Pessimistic
79,7.3486883126602685,12.192442483281779,Base
80,11.268668499041782,-2.001000194081283,Base
81,10.873850035875464,5.49332346411258,Base
82,11.151734946923852,1.8802319427928635,Base
83,5.312722784399713,23.311171548806396,Pessimistic
84,12.502255949753156,-5.430145916812699,Base
85,5.187313680353243,-0.10749300012787866,Base
86,10.591268080687719,-14.23810012447882,Optimistic
87,7.913940772998595,13.592590823071168,Base
88,11.40215533475697,-7.267820962368017,Optimistic
89,10.068099172146596,13.295193846476298,Base
90,11.184569818796387,-18.41911434165709,Optimistic
91,5.89475489833759,3.9528251855397523,Base
92,10.056074974216378,0.04898782617922448,Base
93,9.515326262727296,-14.095870533882707,Base
94,8.851500541349761,5.614474009300271,Base
95,9.988997380615526,0.16700910384713263,Base
96,10.269546458259024,-3.360679345596339,Base
97,8.23671410585764,12.31156402347089,Base
98,8.643717231980407,-1.9291878842745511,Base
99,5.286707979304128,18.06651442011251,Pessimistic
100,7.648813206060586,8.136357230932887,Base
101,4.247923468157011,13.534596257854878,Pessimistic
102,8.808874141220945,-3.360565846278508,Base
103,10.142289789855504,-15.086648912508748,Base
104,6.657198312598463,-3.901507946214875,Base
105,11.091469291248858,-7.012220991773905,Optimistic
106,9.574177847221438,-3.6385402838809258,Base
107,11.929653610860782,-14.214003260013941,Optimistic
108,4.813260906980851,9.868115808887078,Pessimistic
109,12.422944982408008,3.166373025396672,Base
110,6.152848221104328,4.825457025194203,Base
111,5.8834988418191205,32.63238445410115,Pessimistic
112,8.206718461775754,2.340885927301345,Base
113,6.654735855994055,1.7328481642240092,Base
114,12.943508118073776,-15.0043276294789,Optimistic
115,9.446641396339626,-7.620090436820629,Base
116,6.500066608037053,10.651426234874249,Pessimistic
117,8.041029382453482,9.105700371562422,Base
118,11.035682493438616,-0.7160546547344189,Base
119,13.209847156030246,-8.148852290713268,Optimistic
120,11.290374834503345,0.9594683539509632,Base
121,11.353973427814571,-8.164447873929237,Optimistic
122,7.533280769088159,-3.3503643406908097,Base
123,8.268259616326564,-10.374289842986949,Base
